timestamp,stateEstimate.x,stateEstimate.y,stateEstimate.z,stateEstimate.vx,stateEstimate.vy,stateEstimate.vz,stateEstimate.roll,stateEstimate.pitch,stateEstimate.yaw,gyro.x,gyro.y,gyro.z,ILBC.nominal_controller,ILBC.nominal_thrust,ILBC.nominal_torqueX,ILBC.nominal_torqueY,ILBC.nominal_torqueZ,ILBC.full_thrust,ILBC.full_torqueX,ILBC.full_torqueY,ILBC.full_torqueZ
26396.454,0.007275217678397894,-0.7612079381942749,0.7052046060562134,0.035556428134441376,0.06180334836244583,0.0006105226348154247,-0.8401695489883423,-0.9633047580718994,-5.008640289306641,0.03837961703538895,0.007294883020222187,-0.007468414958566427,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26406.299,0.0071411277167499065,-0.7614378929138184,0.7052015662193298,0.03519230708479881,0.06105078384280205,0.0005868537700735033,-0.8389594554901123,-0.9627128839492798,-5.0034098625183105,-0.09175670892000198,0.12514568865299225,-0.08987132459878922,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26416.165,0.007261225022375584,-0.7612254023551941,0.7052030563354492,0.03557847440242767,0.06182949244976044,0.0005326519603841007,-0.8389552235603333,-0.9623964428901672,-5.005049705505371,-0.1550712287425995,0.004327690694481134,0.17678803205490112,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26426.03,0.007125132251530886,-0.7614541053771973,0.7052001953125,0.03513510152697563,0.06108943372964859,0.0005039605312049389,-0.8407933115959167,-0.9622617363929749,-5.004875183105469,-0.02726718597114086,-0.18482409417629242,-0.039764437824487686,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26435.894,0.007246528286486864,-0.761240541934967,0.7052017450332642,0.03564802557229996,0.06176765263080597,0.0004943647654727101,-0.8400595188140869,-0.9598491191864014,-5.000211715698242,0.05681636556982994,0.23177018761634827,0.06204678863286972,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26603.55,0.007351307198405266,-0.7605336904525757,0.7093689441680908,0.03613593429327011,0.09509207308292389,0.1616898477077484,-6.694064617156982,0.734143853187561,-4.250556468963623,-117.5541763305664,-31.92270851135254,10.915216445922852,1,0.6119214296340942,-0.002027949783951044,-0.0006374847725965083,-5.4544227168662474e-05,0.6119214296340942,-0.002027949783951044,-0.0006374847725965083,-5.4544227168662474e-05
26613.41,0.007502323482185602,-0.7596950531005859,0.7115291357040405,0.034304965287446976,0.11474015563726425,0.2140657901763916,-7.965215682983398,1.0683199167251587,-4.090824604034424,-93.48692321777344,-26.375810623168945,10.42114543914795,1,0.6002523303031921,-0.004183171316981316,-0.0007539482903666794,-9.506786591373384e-05,0.6002523303031921,-0.004183171316981316,-0.0007539482903666794,-9.506786591373384e-05
26623.271,0.00735297380015254,-0.7591105103492737,0.7141119241714478,0.031069418415427208,0.13459576666355133,0.26325124502182007,-8.888432502746582,1.3293083906173706,-3.9543139934539795,-82.69075775146484,-25.094697952270508,11.468103408813477,1,0.5893012285232544,-0.0017196923727169633,0.00016856566071510315,-7.944999379105866e-05,0.5893012285232544,-0.0017196923727169633,0.00016856566071510315,-7.944999379105866e-05
26633.14,0.007411142345517874,-0.7579890489578247,0.7170868515968323,0.028176791965961456,0.15724137425422668,0.3103245198726654,-9.744443893432617,1.5684609413146973,-3.8067071437835693,-91.50263977050781,-29.46414566040039,11.341836929321289,1,0.5788038372993469,0.0027983514592051506,0.0015924214385449886,-9.8558230092749e-05,0.5788038372993469,0.0027983514592051506,0.0015924214385449886,-9.8558230092749e-05
26642.999,0.007208187133073807,-0.7567723989486694,0.7210046648979187,0.023431308567523956,0.18373984098434448,0.3594997227191925,-10.841358184814453,1.9119186401367188,-3.6244542598724365,-108.9127197265625,-35.97768020629883,12.052629470825195,1,0.567712128162384,0.005285541992634535,0.0024428311735391617,-0.00015440394054166973,0.567712128162384,0.005285541992634535,0.0024428311735391617,-0.00015440394054166973
26652.854,0.007176722399890423,-0.755153477191925,0.7249149680137634,0.01922500692307949,0.21065518260002136,0.4017164707183838,-11.956732749938965,2.264720916748047,-3.4314849376678467,-112.80174255371094,-37.456817626953125,12.428898811340332,1,0.5582829117774963,0.0032143620774149895,0.001641458598896861,-0.00017865895642898977,0.5582829117774963,0.0032143620774149895,0.001641458598896861,-0.00017865895642898977
26662.715,0.006856916472315788,-0.7533581256866455,0.7298116683959961,0.012825638055801392,0.2425517737865448,0.44804003834724426,-13.16728401184082,2.6363327503204346,-3.2241337299346924,-98.64759826660156,-30.599872589111328,11.67107105255127,1,0.5477665662765503,-0.0006941034807823598,-0.00013807867071591318,-0.0001999560627155006,0.5477665662765503,-0.0006941034807823598,-0.00013807867071591318,-0.0001999560627155006
26672.585,0.006607993505895138,-0.7537131309509277,0.7298997640609741,0.011841877363622189,0.24143770337104797,0.4484017491340637,-13.168224334716797,2.6468334197998047,-3.2292017936706543,-76.97113800048828,-22.227596282958984,10.894821166992188,1,0.5486462712287903,-0.003080961061641574,-0.00076749810250476,6.968883099034429e-05,0.5486462712287903,-0.003080961061641574,-0.00076749810250476,6.968883099034429e-05
26682.436,0.006233185529708862,-0.7489796876907349,0.7398324608802795,1.1177155101904646e-05,0.3065364956855774,0.5243600606918335,-14.773234367370605,3.0818448066711426,-2.9120099544525146,-63.51942443847656,-21.547168731689453,9.344779968261719,1,0.5306681394577026,-0.0015730645973235369,0.0010070387506857514,-0.0003331812040414661,0.5306681394577026,-0.0015730645973235369,0.0010070387506857514,-0.0003331812040414661
26692.297,0.005983144044876099,-0.7493479251861572,0.7399243712425232,-0.0009719337685965002,0.30526861548423767,0.5247511863708496,-14.769021034240723,3.090996026992798,-2.9158966541290283,-63.22114944458008,-25.621326446533203,10.249635696411133,1,0.5314269661903381,0.0010694644879549742,0.0021453811787068844,5.945439261267893e-05,0.5314269661903381,0.0010694644879549742,0.0021453811787068844,5.945439261267893e-05
26702.154,0.005444514099508524,-0.7468761205673218,0.745522141456604,-0.008441579528152943,0.3377079665660858,0.5578687787055969,-15.381708145141602,3.31325364112854,-2.762946367263794,-71.89653778076172,-28.690649032592773,9.465860366821289,1,0.5240216851234436,0.0035506868734955788,0.002208774909377098,-0.00013630140165332705,0.5240216851234436,0.0035506868734955788,0.002208774909377098,-0.00013630140165332705
26712.03,0.005081923212856054,-0.7437058091163635,0.7513409852981567,-0.01527076680213213,0.37214213609695435,0.5874209403991699,-16.05352020263672,3.5554068088531494,-2.6012463569641113,-75.64149475097656,-22.605266571044922,11.428902626037598,1,0.517456591129303,0.0030838646925985813,0.00025905881193466485,-0.00016801041783764958,0.517456591129303,0.0030838646925985813,0.00025905881193466485,-0.00016801041783764958
26721.875,0.004394713323563337,-0.7405728101730347,0.7575353384017944,-0.023565122857689857,0.4062509834766388,0.6150668859481812,-16.797426223754883,3.799710750579834,-2.434089183807373,-67.05305480957031,-10.595650672912598,11.169063568115234,1,0.5113229751586914,0.0006431304500438273,-0.0012669040588662028,-0.00018007875769399107,0.5113229751586914,0.0006431304500438273,-0.0012669040588662028,-0.00018007875769399107
26731.744,0.003872184781357646,-0.7367091774940491,0.763905942440033,-0.03134831041097641,0.4431847929954529,0.6410985589027405,-17.530763626098633,3.9443187713623047,-2.2793080806732178,-47.95475769042969,0.36310455203056335,10.76048469543457,1,0.5055509209632874,-0.0018397048115730286,-0.001376270200125873,-0.00016842452168930322,0.5055509209632874,-0.0018397048115730286,-0.001376270200125873,-0.00016842452168930322
26741.597,0.0025825665798038244,-0.727888822555542,0.7773937582969666,-0.04722714424133301,0.5197396278381348,0.6885575652122498,-18.525297164916992,3.9190897941589355,-2.075575828552246,-32.1382942199707,4.342188358306885,9.57083511352539,1,0.4943951666355133,-0.0011068877065554261,2.2905574951437302e-05,-0.00022947619436308742,0.4943951666355133,-0.0011068877065554261,2.2905574951437302e-05,-0.00022947619436308742
26751.475,0.0023331816773861647,-0.7282983660697937,0.7774801850318909,-0.048220571130514145,0.5182629823684692,0.6888996958732605,-18.519302368164062,3.9273388385772705,-2.077993631362915,-28.139841079711914,2.039907693862915,8.634663581848145,1,0.4949219524860382,0.0011112429201602936,0.0013972400920465589,3.3365449780831113e-05,0.4949219524860382,0.0011112429201602936,0.0013972400920465589,3.3365449780831113e-05
26761.317,0.001320319133810699,-0.7237491607666016,0.7846390604972839,-0.05690121650695801,0.5553449988365173,0.7093779444694519,-18.80643081665039,3.881387233734131,-2.005497694015503,-32.588680267333984,-2.608983278274536,8.251213073730469,1,0.49042531847953796,0.0032956604845821857,0.0021342511754482985,-5.9986818087054417e-05,0.49042531847953796,0.0032956604845821857,0.0021342511754482985,-5.9986818087054417e-05
26771.18,0.0004726608167402446,-0.7184264063835144,0.7919018268585205,-0.06435141712427139,0.5935333371162415,0.7267946600914001,-19.106281280517578,3.8615615367889404,-1.9291757345199585,-35.01826858520508,-1.3183733224868774,9.008795738220215,1,0.4866619408130646,0.0033004998695105314,0.0009581628255546093,-7.34158165869303e-05,0.4866619408130646,0.0033004998695105314,0.0009581628255546093,-7.34158165869303e-05
26781.038,-0.0006867825286462903,-0.713148295879364,0.7994065880775452,-0.07250895351171494,0.6305080056190491,0.7428417801856995,-19.444595336914062,3.8667612075805664,-1.8408769369125366,-26.889129638671875,6.064762592315674,9.899242401123047,1,0.48321425914764404,0.0011601189617067575,-0.00048101707943715155,-9.838075493462384e-05,0.48321425914764404,0.0011601189617067575,-0.00048101707943715155,-9.838075493462384e-05
26790.922,-0.0016865574289113283,-0.7070913314819336,0.8069871664047241,-0.07985047250986099,0.6692101359367371,0.7579078078269958,-19.769620895385742,3.824054479598999,-1.7601100206375122,-7.735199451446533,13.854507446289062,11.04309368133545,1,0.4799874424934387,-0.0015127358492463827,-0.0008104056469164789,-0.0001005696103675291,0.4799874424934387,-0.0015127358492463827,-0.0008104056469164789,-0.0001005696103675291
26800.759,-0.002995183225721121,-0.7011038064956665,0.8147833347320557,-0.08792419731616974,0.7066630125045776,0.7720530033111572,-19.956405639648438,3.7115390300750732,-1.6958593130111694,12.193841934204102,18.68349838256836,11.167583465576172,1,0.4769679307937622,-0.0021931282244622707,-0.0003531007096171379,-8.365025860257447e-05,0.4769679307937622,-0.0021931282244622707,-0.0003531007096171379,-8.365025860257447e-05
26810.622,-0.0041409325785934925,-0.6942980289459229,0.8226372599601746,-0.09485314041376114,0.7456938624382019,0.7851805090904236,-19.9426212310791,3.523730754852295,-1.648512363433838,23.789297103881836,18.344707489013672,11.064970970153809,1,0.474181205034256,-0.0007403985364362597,0.0007294296519830823,-6.395044329110533e-05,0.474181205034256,-0.0007403985364362597,0.0007294296519830823,-6.395044329110533e-05
26820.488,-0.005582862999290228,-0.6876025199890137,0.8306863903999329,-0.10228705406188965,0.7826718688011169,0.7979028224945068,-19.764610290527344,3.3172922134399414,-1.6095221042633057,24.34098243713379,14.917133331298828,11.939334869384766,1,0.47147607803344727,0.0016525888349860907,0.0015188653487712145,-6.140662299003452e-05,0.47147607803344727,0.0016525888349860907,0.0015188653487712145,-6.140662299003452e-05
26830.351,-0.006859534420073032,-0.6800693869590759,0.8387835025787354,-0.10832972079515457,0.8204124569892883,0.8092251420021057,-19.519065856933594,3.12040114402771,-1.559682846069336,19.61724853515625,14.489462852478027,12.260025024414062,1,0.4691011905670166,0.0030858004465699196,0.0009521943866275251,-7.933167944429442e-05,0.4691011905670166,0.0030858004465699196,0.0009521943866275251,-7.933167944429442e-05
26840.204,-0.008413335308432579,-0.6727003455162048,0.8470550179481506,-0.11487550288438797,0.8551472425460815,0.8194116950035095,-19.294109344482422,2.9503157138824463,-1.49168860912323,20.716764450073242,17.599945068359375,13.09416675567627,1,0.4669927954673767,0.0020342408679425716,0.0001467892579967156,-0.00011068573803640902,0.4669927954673767,0.0020342408679425716,0.0001467892579967156,-0.00011068573803640902
26850.062,-0.00980176217854023,-0.6644803881645203,0.8553575873374939,-0.1201857477426529,0.891109049320221,0.8288660645484924,-19.103965759277344,2.7612695693969727,-1.4228768348693848,31.554933547973633,24.314117431640625,13.229185104370117,1,0.4650518596172333,-0.00018421246204525232,-0.0008321821806021035,-0.00011559589620446786,0.4650518596172333,-0.00018421246204525232,-0.0008321821806021035,-0.00011559589620446786
26859.925,-0.011458498425781727,-0.656463086605072,0.8638190031051636,-0.12609227001667023,0.9246742725372314,0.8386020064353943,-18.854032516479492,2.5316574573516846,-1.3623846769332886,48.891849517822266,29.137466430664062,13.362611770629883,1,0.46302664279937744,-0.002042628824710846,-0.000632322917226702,-0.00010879266483243555,0.46302664279937744,-0.002042628824710846,-0.000632322917226702,-0.00010879266483243555
26869.798,-0.012950326316058636,-0.6475763916969299,0.8723101615905762,-0.13071288168430328,0.9597223997116089,0.8485270738601685,-18.46552848815918,2.2356791496276855,-1.3217172622680664,63.294925689697266,29.1942081451416,13.362090110778809,1,0.46093979477882385,-0.0019071310525760055,0.0003126127121504396,-8.589828212279826e-05,0.46093979477882385,-0.0019071310525760055,0.0003126127121504396,-8.589828212279826e-05
26879.646,-0.014691631309688091,-0.6389434337615967,0.8809608221054077,-0.13572397828102112,0.9916181564331055,0.8580828309059143,-17.910018920898438,1.9192508459091187,-1.2866913080215454,67.29617309570312,27.171558380126953,13.2357816696167,1,0.45893025398254395,9.371928172186017e-05,0.0007992754690349102,-7.950915460241958e-05,0.45893025398254395,9.371928172186017e-05,0.0007992754690349102,-7.950915460241958e-05
26889.506,-0.016262376680970192,-0.6294340491294861,0.8896395564079285,-0.13930587470531464,1.024344563484192,0.8671568632125854,-17.256723403930664,1.6107923984527588,-1.2422511577606201,64.07100677490234,23.70884895324707,13.471319198608398,1,0.4570266604423523,0.0017284030327573419,0.0012070592492818832,-9.477206913288683e-05,0.4570266604423523,0.0017284030327573419,0.0012070592492818832,-9.477206913288683e-05
26899.367,-0.018052926287055016,-0.6202347874641418,0.8984676599502563,-0.1430293172597885,1.0534439086914062,0.8760533332824707,-16.601516723632812,1.331152319908142,-1.185365915298462,60.07358169555664,24.36467933654785,13.963295936584473,1,0.45515385270118713,0.0020715028513222933,0.00033745396649464965,-0.00011618748249020427,0.45515385270118713,0.0020715028513222933,0.00033745396649464965,-0.00011618748249020427
26909.243,-0.019678398966789246,-0.6101616024971008,0.9073237776756287,-0.14547905325889587,1.0830260515213013,0.8844360709190369,-15.981359481811523,1.0685259103775024,-1.1189444065093994,62.851558685302734,28.131919860839844,13.615021705627441,1,0.4533960223197937,0.0006310324533842504,-0.0004608537128660828,-0.00012837415852118284,0.4533960223197937,0.0006310324533842504,-0.0004608537128660828,-0.00012837415852118284
26919.084,-0.021497327834367752,-0.6004598736763,0.916324257850647,-0.14814673364162445,1.1092259883880615,0.8926559090614319,-15.380439758300781,0.7855013012886047,-1.0482690334320068,71.59712982177734,33.57529067993164,13.227592468261719,1,0.45166632533073425,-0.0009039636934176087,-0.001040913164615631,-0.00013393507106229663,0.45166632533073425,-0.0009039636934176087,-0.001040913164615631,-0.00013393507106229663
